Player,Nation,Pos,Squad,Age,MP,Min,Gls,Ast,Wage,pts
Rodney Redes,PAR,FW,Austin,21,12,172,0,0,4.125,56
Rodrigo Schlegel,ARG,DF,Orlando City,24,29,2168,1,0,2,48
Rodrigues,BRA,DF,San Jose,24,7,622,0,0,5.5,35
Roger Espinoza,HON,MF,Sporting KC,35,30,1868,2,1,3,40
Romain Métanire,MAD,MF,Minnesota Utd,31,1,23,0,0,7.2,48
Roman Celentano,USA,GK,FC Cincinnati,21,27,2430,0,0,0.84,49
Romell Quioto,HON,FW,CF Montréal,30,30,2045,15,5,8,65
Ronald Hernández,VEN,DF,Atlanta Utd,24,13,761,0,0,3,40
Ronaldo Cisneros,MEX,FW,Atlanta Utd,25,28,1725,7,1,2.44,40
Ruan,BRA,DF,Orlando City,26,31,2454,2,1,3.6,48
Ruben Gabrielsen,NOR,DF,Austin,29,33,2737,2,1,9.5,56
Rubio Rubin,GUA,FW,Real Salt Lake,25,23,866,1,0,5.1,47
